sma,clean_names,median_age_male,total_population,male,employed,unemployed,white,black,asian,median_income,harrys_sales_last_month
New York-Newark-Jersey City, NY-NJ-PA,36.2,19865045,0.482914939281537,0.588030195300513,0.06017905318693,0.59389550841692,0.171775095399985,0.102142230234062,66902,3844.29081297642
Los Angeles-Long Beach-Anaheim, CA,34.4,13060534,0.492993548349554,0.58191833645181,0.068268192886011,0.556792547686029,0.067609716417415,0.150683731614649,60337,4572.05608075588
Chicago-Naperville-Elgin, IL-IN-WI,35.1,9516448,0.488704293870991,0.602580366472938,0.070636772304411,0.666110927102213,0.170298939268097,0.059620249067719,61497,2273.14823309665
Dallas-Fort Worth-Arlington, TX,33.2,6703020,0.492429680949781,0.638329552752454,0.052828420351723,0.694944965105281,0.150070714394407,0.056845571100787,59175,1878.58200604108
Houston-The Woodlands-Sugar Land, TX,32.7,6204141,0.497078483548327,0.621329052147616,0.051947068330071,0.65595156525295,0.172401143043009,0.069343685129013,58689,2378.51551344981
Philadelphia-Camden-Wilmington, PA-NJ-DE-MD,36.6,6015336,0.48285681797326,0.58837716698385,0.064324712195426,0.681378895542992,0.208950588961282,0.052882166515719,62169,1927.24828247228
Washington-Arlington-Alexandria, DC-VA-MD-WV,35.2,5863608,0.487751057028369,0.666658469731415,0.049142136798652,0.559114968122016,0.254181555110778,0.095005157234249,91756,1870.09969389154
Miami-Fort Lauderdale-West Palm Beach, FL,38.7,5775204,0.48496555273199,0.561043659507947,0.070394589219914,0.716145265171585,0.212816897896594,0.023696305792834,48435,1815.77644256547
Atlanta-Sandy Springs-Roswell, GA,34.3,5455053,0.485737352139383,0.6025068553712,0.072726722703808,0.56056210636267,0.32890697853898,0.051509123742702,56618,1206.33441653529
Boston-Cambridge-Newton, MA-NH,37.2,4650876,0.484719652813792,0.636145497914198,0.054530464420307,0.781184877859569,0.07690830716622,0.069580010303435,74494,874.555944277315
San Francisco-Oakland-Hayward, CA,37.6,4466251,0.493116934090807,0.610303239656368,0.058285092616136,0.539548493803864,0.079674653305423,0.239782761873437,80008,1334.7644311496
Riverside-San Bernardino-Ontario, CA,32.2,4345485,0.497455404862748,0.519236867026314,0.085443410294178,0.641300568290996,0.074011761633051,0.063291439275478,55362,1614.02990084704
Phoenix-Mesa-Scottsdale, AZ,34.4,4337542,0.49658354893163,0.567561198030623,0.056605695397748,0.800499222831733,0.051126421369522,0.034896492068549,53310,1068.45434927124
Detroit-Warren-Dearborn, MI,38.3,4292647,0.484863069336938,0.546957740834822,0.078636786739259,0.70179518604721,0.225367937312339,0.035906283465657,52305,1122.23005599902
Seattle-Tacoma-Bellevue, WA,36.1,3557037,0.498710302985322,0.619854761488632,0.055156521659785,0.725091417379128,0.05584704348029,0.11905330194766,68969,1354.12763336081
Minneapolis-St. Paul-Bloomington, MN-WI,35.5,3424786,0.494175110503255,0.674910802166502,0.048063625983845,0.811523698123036,0.07446596663266,0.059403419658922,68019,936.169108755351
San Diego-Carlsbad, CA,33.5,3183143,0.502103110039354,0.559430526822909,0.059369125551431,0.709831132311681,0.050364058416477,0.112466829168529,63996,1010.81673638999
Tampa-St. Petersburg-Clearwater, FL,40.4,2851235,0.484241039409238,0.536394834746942,0.062078966262337,0.793536835792209,0.119558016087765,0.030554479024002,46706,1022.47434122087
Baltimore-Columbia-Towson, MD,36.6,2753396,0.481994235482292,0.616845443259855,0.054744720808362,0.618250335222394,0.28828000040677,0.049213407733577,70311,1035.67997233361
St. Louis, MO-IL,36.9,2797737,0.484279973421376,0.602064446993588,0.058570277860685,0.765459369483265,0.183386787249838,0.022205089327553,54959,751.327816934912
Denver-Aurora-Lakewood, CO,35.2,2651392,0.497577498913778,0.655597558747284,0.053505938006375,0.81523139543304,0.055421076928647,0.037714528821087,64206,510.164865186028
Pittsburgh, PA,40.9,2358793,0.484570286583011,0.579917344367741,0.046112010160395,0.874720672818683,0.081958442305026,0.019579929226515,51883,796.157959476932
Portland-Vancouver-Hillsboro, OR-WA,36.5,2288796,0.493864022831218,0.602637372534225,0.064315403966767,0.819630932595129,0.028411007359328,0.059767668241294,58832,783.170970688874
Charlotte-Concord-Gastonia, NC-SC,35.5,2298915,0.486103661944874,0.601800144831514,0.072321107036986,0.692285708693014,0.220427027532553,0.0297844852898,52591,599.121688988876
San Juan-Carolina-Caguas, PR,36,2297987,0.475264655544178,0.403660680982576,0.082066001655098,0.663914547819461,0.098876103302586,0.00368670492914,22254,859.955338903421
Sacramento--Roseville--Arden-Arcade, CA,35.1,2197422,0.489865396814995,0.550113640834786,0.075060234271391,0.665584944539556,0.07189470206451,0.123789149284935,59439,781.035778811275
San Antonio-New Braunfels, TX,32.9,2239222,0.492127176313916,0.585507555195368,0.048485525952681,0.790486159925188,0.064881463293948,0.022008536893618,52786,805.162075951603
Orlando-Kissimmee-Sanford, FL,35.3,2226835,0.488955400826734,0.581549445365602,0.068585298547869,0.718901041163804,0.162134599105906,0.040875951743169,48559,775.447844958243
Cincinnati, OH-KY-IN,36,2131793,0.489008079114623,0.60710140200588,0.055721100116554,0.82793967331725,0.122060162501706,0.020723869531423,55204,485.255414583085
San Jose-Sunnyvale-Santa Clara, CA,35.7,1898457,0.502131994561899,0.611093839526701,0.060239497818098,0.503287143190496,0.025933692467093,0.322430795114137,92960,591.305535915769
Cleveland-Elyria, OH,39.4,2067490,0.481480442468887,0.579679567601166,0.06364861210406,0.743747249079802,0.199540989315547,0.020628394816904,49551,555.120472570791
Kansas City, MO-KS,35.6,2040869,0.490011362806726,0.632782987415759,0.050477905369491,0.790951795534157,0.125439702401281,0.024578255635222,57056,404.516991523515
Las Vegas-Henderson-Paradise, NV,35.6,2003613,0.501869872076095,0.575438589789138,0.079049307208319,0.649281572838667,0.10705211036263,0.089919061215913,52070,498.541999337503
Columbus, OH,34.6,1948188,0.491472075590241,0.626249473301471,0.051201003910367,0.780098737904145,0.144704207191503,0.032876703891,55115,723.085587154121
Indianapolis-Carmel-Anderson, IN,35,1931182,0.488484254720684,0.613546572883113,0.059607281370109,0.778583789616929,0.146150388725661,0.023345288015319,52434,514.40418574858
Austin-Round Rock, TX,32.7,1835016,0.500482284623131,0.653267705769757,0.048519523499015,0.782785545194156,0.073011897443946,0.050414819271331,61900,516.989659932212
Virginia Beach-Norfolk-Newport News, VA-NC,33.4,1697898,0.491978316718672,0.570731985239983,0.051431421195437,0.602161613948541,0.308878978595887,0.036684771405585,59244,535.031090630403
Nashville-Davidson--Murfreesboro--Franklin, TN,35.2,1730515,0.487705105127664,0.618646301649454,0.052218244577534,0.777592797519813,0.152787465003193,0.023240480435015,52805,556.632605790074
Providence-Warwick, RI-MA,38.2,1604317,0.484058948449714,0.593167082941684,0.063565996834223,0.836031158430659,0.054197518320881,0.027480853222898,56267,389.89312171023
Milwaukee-Waukesha-West Allis, WI,35.9,1565368,0.486355285147007,0.618315442909743,0.056372692265233,0.7453959707877,0.165377725876599,0.031025292455193,53628,564.65468051033
Jacksonville, FL,36.4,1380995,0.48671790991278,0.564519803252278,0.066644736962001,0.706986629205754,0.215633655444082,0.035103675248643,52067,479.555157190856
Memphis, TN-MS-AR,33.8,1337014,0.479874556287369,0.579513613123591,0.071320106955402,0.480181209770429,0.459582322997366,0.019491942492749,47647,349.565966845187
Oklahoma City, OK,33.4,1297998,0.49289829414221,0.607909889296476,0.039493881390358,0.741763084380716,0.101449308858719,0.030039337502831,50967,281.02566299303
Richmond, VA,36.5,1234058,0.484567175935005,0.603856790113437,0.054135869223387,0.622394571405882,0.300977749830235,0.034418155386538,59677,415.832305610877
Hartford-West Hartford-East Hartford, CT,38.8,1215159,0.487256400191251,0.612803396765729,0.063500693289947,0.771575571591866,0.108490329249094,0.042580435975868,68959,289.244311622955
Louisville/Jefferson County, KY-IN,37.2,1253305,0.487837358025381,0.594924198462208,0.057996639102471,0.808730516514336,0.138971758670076,0.017064481510885,50386,419.506274749713
New Orleans-Metairie, LA,36.1,1226440,0.484638465803464,0.576012058129516,0.057247463843007,0.583988617461922,0.346942369785721,0.028306317471707,47412,348.39056761461
Raleigh, NC,34.5,1189579,0.487981042032517,0.641655303319552,0.055498587308687,0.695243443268585,0.201781470587494,0.047858107784351,62794,225.949718899318
Urban Honolulu, HI,35.3,975690,0.504546526048233,0.576114243646585,0.036037390033994,0.215075485041355,0.024771187569822,0.431706792116348,73581,181.608694163622
Salt Lake City, UT,31,1123643,0.502486999874515,0.659577445081853,0.050075266690147,0.838874090792182,0.016004193502741,0.033916466350967,61529,335.365673840632
Birmingham-Hoover, AL,36.6,1135534,0.481534678838326,0.555491470430715,0.057090938647895,0.667715805955612,0.284904723240343,0.013273050388628,48438,327.558759915807
Buffalo-Cheektowaga-Niagara Falls, NY,39.1,1135667,0.48370869277702,0.579451431185099,0.050172924528098,0.808658700129527,0.120667413951449,0.02573993961258,50726,391.121512289317
Rochester, NY,37.9,1082578,0.48622547289895,0.586268829862423,0.049779459535992,0.814235094376571,0.114174683025149,0.026707544398648,52717,391.993802518497
Bridgeport-Stamford-Norwalk, CT,38.1,934215,0.486785161873873,0.618885228083285,0.065693420739785,0.743378130301911,0.110501329993631,0.048768217166284,83163,221.082834540961
Fresno, CA,30.3,948844,0.49895135554422,0.523308681928507,0.087488747336395,0.585941419242784,0.050878753514803,0.097061266130154,45201,200.911548013605
Tucson, AZ,36.4,993144,0.491680964693942,0.524738543878939,0.063383340111361,0.787796130269125,0.035670557341131,0.026980981609918,46233,330.410972939541
Grand Rapids-Wyoming, MI,34.5,1007329,0.493209269265553,0.612048713828012,0.058447125177853,0.855785944810484,0.065375860319717,0.022954764530754,53187,284.226806156644
Tulsa, OK,35.4,954055,0.490895178999114,0.599092655026196,0.045380783072278,0.725346023028023,0.080544622689468,0.018885703654402,49255,200.985640842535
Worcester, MA-CT,38.4,924722,0.493274735542141,0.615209270781751,0.059505996081555,0.862467855204051,0.041402713464155,0.039319925339724,64629,237.646524408015
Albuquerque, NM,35.6,899137,0.491625859018147,0.565078127648036,0.056803545402163,0.717565843692341,0.026707832065636,0.020139311361895,48875,240.760099335369
Oxnard-Thousand Oaks-Ventura, CA,35.5,835790,0.495672357888943,0.604243294916356,0.06256391543461,0.776843465463813,0.017988968520801,0.069968532765408,77335,232.897797269149
New Haven-Milford, CT,38.1,863148,0.481988025228582,0.595605924672994,0.068951182020263,0.752167646799854,0.127156640576124,0.037166279711011,61646,190.023438839115
Albany-Schenectady-Troy, NY,38.4,875567,0.488340698084784,0.607827025093212,0.048607268031729,0.845364203995811,0.076728565603775,0.03577910085693,61841,321.590544140572
Omaha-Council Bluffs, NE-IA,33.9,886157,0.494133658031252,0.669879174212455,0.041676290458544,0.845390828036116,0.077342953900945,0.022116848368856,57357,284.858640150278
Bakersfield, CA,30.4,857730,0.513812038753454,0.509089151341105,0.077722941747019,0.737355578095671,0.056442003893999,0.044170076830704,48574,167.139830130906
Allentown-Bethlehem-Easton, PA-NJ,39.6,826260,0.488002565778326,0.587435422775323,0.059419304179935,0.847715004962118,0.052930070437877,0.026801491056084,58681,154.369828735776
El Paso, TX,29.6,827206,0.487855503949439,0.523404657160441,0.051719814911901,0.81728855931896,0.033870644071731,0.010681740703041,40699,254.681610331675
Greenville-Anderson-Mauldin, SC,36.8,842817,0.486634702432438,0.55477895139035,0.057163240603513,0.785802849254346,0.167077787942104,0.015713968750037,45428,190.691533227389
Baton Rouge, LA,33.4,814805,0.490311178748289,0.593376884924978,0.049949339220825,0.60125551512325,0.355881468572235,0.019299096102749,51829,184.404858029483
Knoxville, TN,38.8,847765,0.488185994939635,0.544775229251036,0.04835218544896,0.900856959180905,0.05929591337222,0.013795096518493,44906,313.370066615952
Columbia, SC,34.3,784698,0.486737572926145,0.572548255269658,0.062857261535414,0.607414572230336,0.331513524948451,0.018271997634759,49238,188.912681263896
Dayton, OH,37.5,801259,0.484054469278972,0.556758063509888,0.060647888202633,0.78980329706125,0.156326481200211,0.020566383653725,47162,266.888490848123
McAllen-Edinburg-Mission, TX,27.3,806447,0.487338907578551,0.520452280389594,0.060411024601928,0.911862775855078,0.005882593648436,0.010334219111733,34952,193.481245915778
Stockton-Lodi, CA,32.1,701050,0.497276941730262,0.525001190668965,0.092571178190755,0.578358177020184,0.071859353826403,0.14616503815705,53253,198.39027137699
Greensboro-High Point, NC,37.1,735777,0.479989181504722,0.567348923717462,0.065810645940158,0.656023496249543,0.259653400418877,0.031771854787524,43670,207.240512004352
North Port-Sarasota-Bradenton, FL,48.7,722784,0.480303935892327,0.472599470363226,0.051381305783503,0.878039635631115,0.066101352547926,0.015950823482534,49875,268.407329344171
Little Rock-North Little Rock-Conway, AR,34.8,716849,0.485205391930518,0.592488157606635,0.047718481254217,0.727380522257826,0.226325209353713,0.015333773221418,49179,249.657731689435
Charleston-North Charleston, SC,34.5,697281,0.488934877043832,0.583867883685692,0.062145537196046,0.672145089282513,0.270628340654628,0.016557169921452,52517,256.344403265484
Akron, OH,38.7,703017,0.484901503093097,0.590962275569901,0.063253545710502,0.828658481942826,0.11905402003081,0.022180117977232,50776,251.791627165541
Colorado Springs, CO,32.5,669070,0.502079005186303,0.571925314571777,0.058816707578715,0.811992766078288,0.057866889862047,0.025898635419313,57735,179.541371108378
Syracuse, NY,37.5,662236,0.486646754329272,0.571644347496917,0.049654999231666,0.850103286441692,0.081949637289426,0.026505656593722,53191,138.389784834397
Springfield, MA,36.3,626775,0.478099796577719,0.570564535873284,0.063022831747823,0.80969566431335,0.071398827330382,0.028415300546448,52546,155.411404098792
Cape Coral-Fort Myers, FL,45.1,647554,0.490439407369887,0.4716732861144,0.06393698855706,0.842562936836156,0.086005182579368,0.015594066286364,47908,123.86936544542
Winston-Salem, NC,38.4,648045,0.481380151069756,0.557661411104757,0.063405183983568,0.764676835713569,0.17691055405103,0.015159441088196,44589,147.589317606189
Ogden-Clearfield, UT,30,614521,0.502622367665222,0.634061874535369,0.039736947446675,0.894358370177748,0.011254293994835,0.014925445997777,63393,124.88507345343
Wichita, KS,34.3,636095,0.494935504916718,0.614398056653491,0.051049901185771,0.822928965013088,0.07554689158066,0.033873871041275,51059,138.831716102537
Boise City, ID,34.2,639616,0.499466867620572,0.593382172222142,0.055097619259073,0.915338265459276,0.008200232639584,0.020202746647989,50776,245.395769546444
Madison, WI,34.8,620368,0.496695509761948,0.68493208200543,0.039707134888296,0.871207089985299,0.043367807494906,0.043222732313724,61227,165.822856066162
Lakeland-Winter Haven, FL,39.1,617323,0.49003682027075,0.491924697010723,0.066717699297012,0.787887378244452,0.150538696922033,0.016926309241677,43063,142.576431670279
