"","AGE","NH_WHITE","COMM_PT","H_F1","REG_DAYS","PR_PELIG","E_PELIG","POLITICALC","MESSAGE_A","MOVED_AD","Partition"
"1",28,61,0,0,3997,0,20,1,1,"N","V"
"2",53,87,1,0,258,0,0,0,1,"N","T"
"3",68,23,11,0,4217,33,50,1,1,"Y","T"
"4",66,53,2,0,3434,0,50,1,1,"N","T"
"5",23,74,2,0,1215,0,50,0,1,"N","T"
"6",49,64,4,0,10899,67,80,1,1,"Y","T"
"7",59,82,0,0,242,0,0,0,1,"Y","T"
"8",37,97,0,0,4136,0,70,1,1,"N","T"
"9",23,67,3,0,300,0,0,1,1,"Y","V"
"10",62,54,0,0,10879,33,60,0,1,"N","V"
"11",79,42,17,0,0,67,80,1,1,"Y","V"
"12",42,23,11,0,7988,0,0,1,1,"N","T"
"13",37,76,2,0,3786,0,20,0,1,"N","V"
"14",36,97,0,0,5025,0,20,1,1,"Y","V"
"15",57,58,1,0,5145,100,90,1,1,"Y","V"
"16",40,64,4,0,1644,0,25,1,1,"N","V"
"17",71,76,2,0,0,100,90,0,1,"Y","T"
"18",71,58,5,0,2821,33,78,0,1,"N","V"
"19",60,23,11,0,0,33,60,1,1,"Y","T"
"20",28,97,0,0,3604,0,30,0,1,"Y","T"
"21",43,64,4,0,8191,0,10,1,1,"N","T"
"22",55,85,4,0,7876,0,40,1,1,"N","V"
"23",84,54,0,0,16209,100,90,0,1,"N","V"
"24",34,87,0,0,4297,0,20,0,1,"N","T"
"25",49,82,0,0,7824,0,30,0,1,"N","T"
"26",42,54,0,0,3354,0,0,0,1,"N","V"
"27",44,63,1,0,9315,67,80,0,1,"N","T"
"28",28,63,3,0,890,0,0,1,1,"N","V"
"29",35,87,2,0,2398,0,38,1,1,"Y","V"
"30",46,37,4,0,6579,0,30,0,1,"N","V"
"31",62,61,0,0,7876,67,70,0,1,"N","V"
"32",32,42,17,1,3760,0,20,0,1,"Y","V"
"33",63,64,4,0,6656,0,60,1,1,"N","V"
"34",65,91,0,0,1505,0,50,3,1,"N","V"
"35",20,63,3,0,518,0,100,1,1,"Y","T"
"36",24,62,2,0,1975,0,60,0,1,"Y","V"
"37",72,87,1,0,2839,0,11,0,1,"Y","T"
"38",33,76,2,0,2265,0,25,0,1,"Y","V"
"39",54,91,0,0,1700,0,25,0,1,"Y","T"
"40",56,67,3,0,0,33,70,1,1,"Y","V"
"41",29,85,4,0,860,0,0,1,1,"N","T"
"42",33,87,1,0,1784,0,0,0,1,"N","T"
"43",60,37,4,0,7809,0,40,0,1,"Y","T"
"44",55,61,0,0,12999,67,70,1,1,"N","T"
"45",64,74,1,0,7815,0,30,0,1,"Y","T"
"46",64,83,1,0,0,0,40,0,1,"N","T"
"47",89,37,4,0,7826,0,50,0,1,"Y","T"
"48",55,67,3,0,6965,0,10,1,1,"N","V"
"49",83,88,2,0,13698,67,70,1,1,"N","T"
"50",48,87,1,0,9377,0,10,0,1,"N","T"
"51",81,23,11,0,15159,33,70,1,1,"Y","T"
"52",69,97,0,0,6557,67,80,1,1,"Y","V"
"53",43,61,0,1,883,0,50,0,1,"N","V"
"54",68,23,11,0,1118,0,0,1,1,"N","T"
"55",66,88,0,0,13729,100,90,1,1,"N","T"
"56",58,42,17,1,7864,0,0,0,1,"Y","V"
"57",42,78,5,0,8602,0,60,1,1,"N","T"
"58",25,53,2,0,2490,0,13,1,1,"Y","V"
"59",61,88,2,0,7822,0,10,0,1,"Y","T"
"60",49,68,1,0,7831,0,40,0,1,"Y","T"
"61",65,88,0,0,0,67,80,1,1,"Y","T"
"62",37,23,11,0,371,0,0,1,1,"Y","T"
"63",71,89,0,1,7809,33,60,0,1,"Y","T"
"64",24,65,2,0,2083,33,50,0,1,"N","T"
"65",20,63,3,0,372,0,0,1,1,"N","V"
"66",60,65,2,0,3433,0,50,0,1,"N","T"
"67",59,63,3,0,10838,67,80,1,1,"N","T"
"68",37,61,0,0,2239,0,25,0,1,"Y","V"
"69",55,85,4,0,7826,67,70,1,1,"N","V"
"70",26,45,0,0,3393,0,11,0,1,"N","V"
"71",21,63,3,0,511,0,100,1,1,"Y","T"
"72",26,42,17,0,2168,0,38,0,1,"N","T"
"73",55,64,4,1,5563,0,30,1,1,"N","V"
"74",71,92,4,0,0,33,70,1,1,"N","T"
"75",34,62,2,0,3435,0,0,0,1,"Y","T"
"76",20,62,2,0,727,0,0,0,1,"N","V"
"77",60,97,0,0,518,0,100,1,1,"N","V"
"78",79,54,0,0,17326,67,80,1,1,"Y","T"
"79",32,63,3,0,2939,0,11,1,1,"N","V"
"80",61,92,4,0,15525,0,60,1,1,"N","V"
"81",58,62,2,0,7830,33,70,0,1,"N","T"
"82",32,64,4,0,1840,0,25,1,1,"N","T"
"83",54,85,4,0,0,33,60,1,1,"N","V"
"84",23,45,0,0,1399,0,50,2,1,"N","V"
"85",50,67,3,1,10776,67,70,1,1,"N","T"
"86",51,76,2,0,7809,33,70,0,1,"N","T"
"87",26,58,5,0,3338,0,11,0,1,"N","V"
"88",49,85,4,0,3652,33,70,1,1,"N","V"
"89",44,74,1,0,0,33,60,0,1,"N","V"
"90",72,74,1,0,5863,0,20,0,1,"N","T"
"91",40,23,11,0,7824,0,30,1,1,"N","T"
"92",23,37,4,0,719,0,50,0,1,"N","V"
"93",28,54,0,0,2219,0,0,0,1,"N","V"
"94",45,37,4,0,439,0,0,0,1,"N","T"
"95",53,31,13,0,7864,100,90,0,1,"Y","T"
"96",94,42,19,0,10776,33,50,0,1,"N","V"
"97",65,85,4,0,15159,33,60,1,1,"Y","T"
"98",38,85,4,0,5523,0,0,1,1,"Y","V"
"99",42,76,0,0,1247,100,100,0,1,"N","V"
"100",42,63,3,0,7498,0,50,1,1,"N","V"
"101",69,87,1,1,6992,0,50,0,1,"Y","T"
"102",37,88,2,0,3833,0,30,1,1,"N","T"
"103",59,23,11,0,533,0,100,1,1,"Y","V"
"104",25,76,0,1,2303,0,0,0,1,"Y","V"
"105",44,68,0,0,2659,33,63,0,1,"N","V"
"106",62,67,3,0,0,33,70,1,1,"N","T"
"107",59,63,3,0,7869,33,40,1,1,"N","V"
"108",69,76,0,0,17321,67,80,0,1,"Y","T"
"109",40,78,5,0,6404,0,40,1,1,"N","T"
