Version,Time_of_Day,Completion
A,Morning,0
A,Morning,1
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,1
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,1
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,1
A,Morning,1
A,Morning,1
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,1
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,1
A,Morning,1
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,1
A,Morning,1
A,Morning,0
A,Morning,1
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Morning,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,1
A,Afternoon,0
A,Afternoon,1
A,Afternoon,1
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,1
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,1
A,Afternoon,0
A,Afternoon,0
A,Afternoon,0
A,Afternoon,1
A,Afternoon,1
A,Afternoon,1
A,Afternoon,1
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,1
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,1
A,Evening,1
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,1
A,Evening,1
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,0
A,Evening,1
A,Evening,0
A,Evening,0
A,Evening,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,1
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,1
B,Morning,0
B,Morning,0
B,Morning,1
