"","user","variant","conversion"
"1",1,"control",0
"2",2,"control",0
"3",3,"control",0
"4",4,"control",0
"5",5,"control",1
"6",6,"control",0
"7",7,"control",0
"8",8,"control",0
"9",9,"control",0
"10",10,"control",0
"11",11,"control",0
"12",12,"control",0
"13",13,"control",0
"14",14,"control",0
"15",15,"control",0
"16",16,"control",0
"17",17,"control",0
"18",18,"control",0
"19",19,"control",0
"20",20,"control",0
"21",21,"control",0
"22",22,"control",0
"23",23,"control",0
"24",24,"control",0
"25",25,"control",0
"26",26,"control",0
"27",27,"control",0
"28",28,"control",0
"29",29,"control",0
"30",30,"control",0
"31",31,"control",0
"32",32,"control",0
"33",33,"control",0
"34",34,"control",0
"35",35,"control",0
"36",36,"control",0
"37",37,"control",0
"38",38,"control",0
"39",39,"control",0
"40",40,"control",0
"41",41,"control",0
"42",42,"control",0
"43",43,"control",0
"44",44,"control",1
"45",45,"control",1
"46",46,"control",0
"47",47,"control",0
"48",48,"control",0
"49",49,"control",0
"50",50,"control",0
"51",51,"control",0
"52",52,"control",1
"53",53,"control",0
"54",54,"control",0
"55",55,"control",0
"56",56,"control",0
"57",57,"control",0
"58",58,"control",0
"59",59,"control",0
"60",60,"control",0
"61",61,"control",0
"62",62,"control",1
"63",63,"control",0
"64",64,"control",0
"65",65,"control",0
"66",66,"control",0
"67",67,"control",0
"68",68,"control",0
"69",69,"control",0
"70",70,"control",0
"71",71,"control",0
"72",72,"control",0
"73",73,"control",0
"74",74,"control",0
"75",75,"control",0
"76",76,"control",0
"77",77,"control",0
"78",78,"control",0
"79",79,"control",0
"80",80,"control",0
"81",81,"control",0
"82",82,"control",0
"83",83,"control",0
"84",84,"control",0
"85",85,"control",0
"86",86,"control",0
"87",87,"control",0
"88",88,"control",0
"89",89,"control",1
"90",90,"control",0
"91",91,"control",0
"92",92,"control",0
"93",93,"control",0
"94",94,"control",0
"95",95,"control",0
"96",96,"control",1
"97",97,"control",0
"98",98,"control",0
"99",99,"control",0
"100",100,"control",0
"101",101,"control",1
"102",102,"control",0
"103",103,"control",0
"104",104,"control",0
"105",105,"control",0
"106",106,"control",0
"107",107,"control",0
"108",108,"control",0
"109",109,"control",0
"110",110,"control",0
"111",111,"control",0
"112",112,"control",0
"113",113,"control",0
"114",114,"control",1
"115",115,"control",0
"116",116,"control",0
"117",117,"control",1
"118",118,"control",0
"119",119,"control",0
"120",120,"control",0
"121",121,"control",0
"122",122,"control",0
"123",123,"control",0
"124",124,"control",0
"125",125,"control",0
"126",126,"control",0
"127",127,"control",1
"128",128,"control",0
"129",129,"control",0
"130",130,"control",0
"131",131,"control",0
"132",132,"control",0
"133",133,"control",0
"134",134,"control",0
"135",135,"control",0
"136",136,"control",0
"137",137,"control",0
"138",138,"control",0
"139",139,"control",0
"140",140,"control",0
"141",141,"control",0
"142",142,"control",0
"143",143,"control",0
"144",144,"control",0
"145",145,"control",0
"146",146,"control",0
"147",147,"control",0
"148",148,"control",0
"149",149,"control",0
"150",150,"control",0
"151",151,"control",0
"152",152,"control",0
"153",153,"control",0
"154",154,"control",0
"155",155,"control",0
"156",156,"control",0
"157",157,"control",0
"158",158,"control",0
"159",159,"control",0
"160",160,"control",0
"161",161,"control",0
"162",162,"control",0
"163",163,"control",0
"164",164,"control",0
"165",165,"control",0
"166",166,"control",0
"167",167,"control",0
"168",168,"control",0
"169",169,"control",0
"170",170,"control",0
"171",171,"control",0
"172",172,"control",0
"173",173,"control",0
"174",174,"control",0
"175",175,"control",0
"176",176,"control",0
"177",177,"control",0
"178",178,"control",0
"179",179,"control",0
"180",180,"control",0
"181",181,"control",0
"182",182,"control",0
"183",183,"control",0
"184",184,"control",0
"185",185,"control",0
"186",186,"control",0
"187",187,"control",0
"188",188,"control",0
"189",189,"control",0
"190",190,"control",0
"191",191,"control",0
"192",192,"control",0
"193",193,"control",0
"194",194,"control",0
"195",195,"control",0
"196",196,"control",0
"197",197,"control",0
