"","Taster","Formulation","Rating"
"1",1,1,4
"2",1,2,2
"3",1,3,3
"4",2,1,4
"5",2,2,3
"6",2,3,3
"7",3,1,5
"8",3,2,3
"9",3,3,5
"10",4,1,3
"11",4,2,4
"12",4,3,5
"13",5,1,2
"14",5,2,3
"15",5,3,3
"16",6,1,4
"17",6,2,3
"18",6,3,1
"19",7,1,1
"20",7,2,4
"21",7,3,3
"22",8,1,1
"23",8,2,3
"24",8,3,4
"25",9,1,5
"26",9,2,3
"27",9,3,3
"28",10,1,1
"29",10,2,3
"30",10,3,2
"31",11,1,3
"32",11,2,4
"33",11,3,4
"34",12,1,2
"35",12,2,4
"36",12,3,1
"37",13,1,2
"38",13,2,2
"39",13,3,1
"40",14,1,3
"41",14,2,3
"42",14,3,3
"43",15,1,4
"44",15,2,2
"45",15,3,2
