customer_id,prior_quarter_spend,loyalty_enrolled,next_quarter_spend,age,region,tenure
1,474.91,0,590.28,20,South,2.2
2,590.14,1,664.03,34,North,0.6
3,546.4,1,689.25,19,South,0.2
4,519.73,1,680.16,42,North,9.8
5,431.2,0,575.52,35,West,0.3
6,431.2,0,591.14,20,South,8.9
7,411.62,0,571.99,31,South,7.6
8,573.24,1,707.72,27,East,3.2
9,520.22,1,660.03,38,West,2.2
10,541.61,1,625.14,48,South,1.7
11,404.12,0,555.36,16,South,4.0
12,593.98,1,712.62,36,West,0.7
13,566.49,1,698.04,33,North,1.3
14,442.47,0,527.18,41,South,1.9
15,436.36,0,529.39,37,East,1.1
16,436.68,0,593.6,27,South,1.1
17,460.85,0,575.32,31,East,0.8
18,504.95,1,673.42,27,East,1.7
19,486.39,0,592.68,45,South,3.8
20,458.25,0,575.84,35,South,0.5
21,522.37,1,691.57,54,East,5.4
22,427.9,0,541.26,34,West,2.3
23,458.43,0,577.94,27,West,3.5
24,473.27,0,570.1,19,South,1.6
25,491.21,0,581.69,16,North,3.0
26,557.04,1,674.95,19,West,0.0
27,439.93,0,570.62,37,South,3.4
28,502.85,1,637.35,40,West,0.1
29,518.48,1,698.76,19,North,4.4
30,409.29,0,518.74,43,South,9.6
31,521.51,1,657.3,30,North,0.7
32,434.1,0,547.27,36,South,0.5
33,413.01,0,591.22,51,North,2.9
34,589.78,1,709.76,43,West,0.6
35,593.13,1,736.83,32,West,4.0
36,561.68,1,642.44,26,North,0.2
37,460.92,0,584.57,13,North,0.3
38,419.53,0,578.41,27,North,7.7
39,536.85,1,674.58,32,South,2.2
40,488.03,0,624.78,25,West,3.8
41,424.41,0,539.13,33,South,0.8
42,499.04,0,641.7,35,West,2.3
43,406.88,0,613.09,32,East,1.8
44,581.86,1,688.23,28,South,1.8
45,451.76,0,557.69,36,West,2.3
46,532.5,1,713.1,39,West,1.7
47,462.34,0,624.79,24,South,1.1
48,504.01,1,636.72,49,South,0.6
49,509.34,1,643.0,34,West,2.9
50,436.97,0,553.73,35,South,0.5
51,593.92,1,666.02,42,North,2.4
52,555.03,1,655.46,37,South,0.5
53,587.9,1,672.62,44,South,2.0
54,578.97,1,674.35,37,South,2.7
55,519.58,1,660.71,28,West,0.5
56,584.37,1,707.65,38,North,0.1
57,417.7,0,597.13,23,East,0.3
58,439.2,0,533.57,36,East,1.9
59,409.05,0,574.96,34,North,3.8
60,465.07,0,572.62,32,North,0.1
61,477.74,0,585.16,33,North,2.6
62,454.27,0,592.81,16,West,0.8
63,565.75,1,655.77,29,East,1.3
64,471.35,0,594.28,35,North,5.3
65,456.19,0,578.71,36,West,0.8
66,508.54,1,669.9,24,East,1.3
67,428.18,0,565.59,47,South,0.0
68,560.44,1,759.92,26,West,0.2
69,414.91,0,529.81,44,East,0.6
70,597.38,1,692.5,39,West,0.1
71,554.45,1,663.98,28,East,2.0
72,439.74,0,547.18,52,East,1.1
73,401.1,0,521.54,23,South,1.6
74,563.09,1,723.53,44,West,0.4
75,541.37,1,717.44,45,North,0.7
76,545.8,1,660.36,28,South,2.2
77,554.25,1,657.58,48,South,6.7
78,414.81,0,563.03,32,East,0.1
79,471.69,0,566.45,37,North,4.4
80,423.17,0,572.89,37,West,1.7
81,572.62,1,699.66,33,North,1.7
82,524.66,1,619.32,43,North,1.4
83,466.18,0,626.13,42,North,0.1
84,412.71,0,601.5,17,North,0.2
85,462.2,0,558.93,48,North,1.8
86,465.04,0,567.39,18,East,0.8
87,545.92,1,686.13,45,East,5.0
88,527.51,1,676.54,46,South,1.0
89,577.44,1,716.22,24,East,0.3
90,494.44,0,656.97,30,South,2.5
91,423.92,0,549.04,23,South,0.7
92,542.65,1,651.64,32,West,1.5
93,552.16,1,639.91,31,North,2.4
94,512.26,1,635.43,42,East,4.6
95,554.19,1,681.52,48,West,3.1
96,498.76,0,653.09,48,East,2.3
97,504.55,1,637.2,29,South,2.3
98,485.51,0,598.02,32,East,5.8
99,405.08,0,542.56,18,North,0.7
100,421.58,0,588.6,26,South,0.0
101,406.29,0,619.58,44,South,0.6
102,527.28,1,650.44,51,West,0.5
103,462.87,0,563.04,22,North,2.2
104,501.71,1,682.35,29,South,2.0
105,581.51,1,719.36,34,North,1.8
106,449.86,0,625.32,37,East,0.0
107,482.08,0,606.76,26,North,2.6
108,551.11,1,669.89,39,South,0.8
109,445.76,0,585.18,30,West,2.2
110,415.4,0,582.5,34,South,1.6
111,457.95,0,599.38,40,North,0.8
112,432.24,0,574.56,35,North,0.3
113,585.94,1,733.56,30,South,0.2
114,561.62,1,722.05,33,North,3.6
115,526.68,1,707.47,34,East,5.0
116,574.29,1,714.04,31,South,2.1
117,560.73,1,681.43,32,West,0.2
118,437.31,0,566.79,50,South,1.0
119,578.51,1,733.3,40,East,2.6
120,507.87,1,630.21,32,East,3.0
121,561.49,1,697.95,41,East,0.3
122,579.22,1,685.73,31,East,0.0
123,463.6,0,579.02,46,East,2.5
124,422.01,0,591.56,38,West,0.9
125,445.59,0,573.09,33,North,0.6
126,485.42,0,592.65,39,East,0.0
127,563.6,1,647.37,19,East,1.6
128,572.15,1,715.68,23,South,3.8
129,401.39,0,560.2,23,West,6.3
130,502.15,1,716.19,36,West,1.7
131,483.48,0,580.86,52,North,1.4
132,444.42,0,573.23,57,West,0.2
133,423.97,0,561.87,41,South,1.6
134,467.52,0,627.84,40,South,1.0
135,588.58,1,700.29,16,North,1.9
136,464.64,0,587.15,29,South,1.0
137,503.76,1,670.49,27,East,0.5
138,540.6,1,679.96,28,East,0.2
139,472.73,0,570.24,33,South,0.8
140,594.36,1,712.44,30,North,0.2
141,592.49,1,737.7,15,West,0.4
142,450.36,0,539.42,42,North,8.7
143,499.45,0,603.66,24,West,1.2
144,460.18,0,555.1,37,South,1.5
145,456.97,0,610.03,55,South,4.1
146,407.38,0,498.73,25,East,10.8
147,521.91,1,646.38,9,West,1.7
148,500.54,1,661.64,32,North,3.3
149,410.3,0,593.14,46,South,0.8
150,455.73,0,571.47,54,North,0.7
151,581.65,1,682.34,22,East,1.0
152,447.91,0,625.18,39,West,2.2
153,428.98,0,513.95,30,West,2.3
154,497.89,0,532.77,33,South,0.8
155,597.13,1,721.48,61,West,0.3
156,448.41,0,553.99,19,South,2.0
157,534.43,1,640.02,37,East,0.3
158,552.32,1,702.65,39,West,1.7
159,447.53,0,575.83,45,South,2.4
160,545.64,1,660.46,35,North,2.4
161,473.56,0,545.72,38,South,2.8
162,526.46,1,692.05,31,West,4.1
163,526.71,1,685.53,37,East,1.4
164,507.15,1,651.32,31,West,2.6
165,418.06,0,606.23,41,West,1.9
166,567.06,1,658.13,31,South,0.4
167,464.16,0,532.73,38,North,0.1
168,437.3,0,541.62,34,West,0.7
169,408.16,0,543.53,46,North,1.2
170,518.18,1,668.21,34,South,1.9
171,535.51,1,664.07,17,North,3.8
172,403.32,0,552.55,47,South,0.4
173,502.42,1,613.9,25,East,0.3
174,445.3,0,610.49,28,North,6.6
175,529.03,1,664.96,29,North,0.2
176,434.87,0,594.44,48,East,1.3
177,538.19,1,683.19,13,North,1.8
178,477.35,0,600.11,66,East,1.6
179,587.35,1,719.5,45,West,0.2
180,427.5,0,569.93,37,South,0.1
181,468.21,0,600.21,34,East,0.2
182,422.69,0,593.49,37,North,1.8
183,584.94,1,706.86,40,East,1.6
184,575.47,1,716.55,41,North,0.5
185,451.59,0,568.26,40,West,2.0
186,532.0,1,712.4,35,East,3.4
187,563.44,1,667.77,33,West,0.1
188,511.04,1,710.65,33,South,1.4
189,505.93,1,652.35,33,North,2.3
190,448.37,0,526.1,46,North,0.6
191,418.62,0,555.02,40,West,0.7
192,579.44,1,677.23,5,South,1.9
193,580.08,1,723.27,41,East,4.6
194,526.62,1,646.39,36,East,3.3
195,467.81,0,567.3,34,North,1.7
196,469.84,0,525.22,31,West,2.6
197,545.19,1,663.55,46,West,0.9
198,579.42,1,624.94,44,East,2.0
199,577.42,1,648.93,27,South,1.3
200,555.98,1,706.4,39,South,0.4
201,528.41,1,690.62,25,East,2.4
202,416.83,0,562.86,21,East,1.6
203,432.33,0,530.39,28,West,0.9
204,579.71,1,696.4,43,South,4.8
205,521.29,1,662.66,44,East,0.0
206,401.84,0,506.35,40,East,0.8
207,420.29,0,597.28,42,North,0.1
208,532.7,1,695.94,40,East,2.9
209,401.01,0,533.98,28,East,2.4
210,432.16,0,560.1,39,South,0.8
211,509.75,1,662.1,43,West,2.3
212,538.38,1,611.78,42,South,1.0
213,530.39,1,660.82,46,West,2.8
214,444.85,0,546.45,42,North,1.2
215,542.44,1,645.41,38,East,1.1
216,447.45,0,560.04,45,North,5.5
217,465.08,0,632.98,34,West,0.6
